date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_5_normalized,smart_5_raw,smart_9_normalized,smart_9_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw
2024-04-01,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,138337,100,0,95,5860,100,0,100,0,71,29,100,0,100,0
2024-04-08,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,476602,100,0,94,6028,100,0,100,0,68,32,100,0,100,0
2024-04-15,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,389468,100,0,94,6196,100,0,100,0,73,27,100,0,100,0
2024-04-22,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,176203,100,0,94,6364,100,0,100,0,75,25,100,0,100,0
2024-04-29,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,65820,100,0,94,6532,100,0,100,0,71,29,100,0,100,0
2024-05-06,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,263913,100,0,94,6700,100,0,100,0,75,25,100,0,100,0
2024-05-13,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,200041,100,0,94,6868,100,0,100,0,72,28,100,0,100,0
2024-05-20,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,268455,100,0,93,7036,100,0,100,0,72,28,100,0,100,0
2024-05-27,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,347622,100,0,93,7204,100,0,100,0,72,28,100,0,100,0
2024-06-03,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,385681,100,0,93,7372,100,0,100,0,74,26,100,0,100,0
2024-06-10,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,429989,100,0,93,7540,100,0,100,0,73,27,100,0,100,0
2024-06-17,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,382490,100,0,93,7708,100,0,100,0,73,27,100,0,100,0
2024-06-24,SE000001,ST16000NM001G,16000900661248,0,dc1,CL_dc1_2,V_002,POD_002,2,0,100,379360,100,0,93,7876,100,0,100,0,72,28,100,0,100,0
2024-04-01,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,257840,100,0,92,8890,100,0,100,0,73,27,100,0,100,0
2024-04-08,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,125243,100,0,91,9058,100,0,100,0,74,26,100,0,100,0
2024-04-15,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,252995,100,0,91,9226,100,0,100,0,73,27,100,0,100,0
2024-04-22,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,257508,100,0,91,9394,100,0,100,0,76,24,100,0,100,0
2024-04-29,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,280303,100,0,91,9562,100,0,100,0,73,27,100,0,100,0
2024-05-06,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,282601,100,0,91,9730,100,0,100,0,70,30,100,0,100,0
2024-05-13,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,460773,100,0,91,9898,100,0,100,0,76,24,100,0,100,0
2024-05-20,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,172829,100,0,90,10066,100,0,100,0,64,36,100,0,100,0
2024-05-27,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,272836,100,0,90,10234,100,0,100,0,69,31,100,0,100,0
2024-06-03,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,488879,100,0,90,10402,100,0,100,0,70,30,100,0,100,0
2024-06-10,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,41397,100,0,90,10570,100,0,100,0,72,28,100,0,100,0
2024-06-17,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,468281,100,0,90,10738,100,0,100,0,76,24,100,0,100,0
2024-06-24,SE000002,ST16000NM001G,16000900661248,0,dc1,CL_dc1_3,V_003,POD_003,3,0,100,83798,100,0,90,10906,100,0,100,0,77,23,100,0,100,0
2024-04-01,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,39044,100,0,83,17185,100,0,100,0,77,23,100,0,100,0
2024-04-08,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,314358,100,0,83,17353,100,0,100,0,70,30,100,0,100,0
2024-04-15,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,134767,100,0,83,17521,100,0,100,0,78,22,100,0,100,0
2024-04-22,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,125375,100,0,83,17689,100,0,100,0,77,23,100,0,100,0
2024-04-29,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,13666,100,0,83,17857,100,0,100,0,70,30,100,0,100,0
2024-05-06,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,301804,100,0,82,18025,100,0,100,0,70,30,100,0,100,0
2024-05-13,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,184323,100,0,82,18193,100,0,100,0,72,28,100,0,100,0
2024-05-20,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,285806,100,0,82,18361,100,0,100,0,71,29,100,0,100,0
2024-05-27,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,315400,100,0,82,18529,100,0,100,0,73,27,100,0,100,0
2024-06-03,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,352279,100,0,82,18697,100,0,100,0,69,31,100,0,100,0
2024-06-10,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,124684,100,0,82,18865,100,0,100,0,68,32,100,0,100,0
2024-06-17,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,490570,100,0,81,19033,100,0,100,0,76,24,100,0,100,0
2024-06-24,SE000003,ST16000NM001G,16000900661248,0,dc3,CL_dc3_4,V_004,POD_004,4,0,100,371210,100,0,81,19201,100,0,100,0,77,23,100,0,100,0
2024-04-01,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,159338,100,0,81,19948,100,0,100,0,71,29,100,0,100,0
2024-04-08,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,401126,100,0,80,20116,100,0,100,0,71,29,100,0,100,0
2024-04-15,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,374133,100,0,80,20284,100,0,100,0,68,32,100,0,100,0
2024-04-22,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,219126,100,0,80,20452,100,0,100,0,62,38,100,0,100,0
2024-04-29,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,219969,100,0,80,20620,100,0,100,0,75,25,100,0,100,0
2024-05-06,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,108059,100,0,80,20788,100,0,100,0,72,28,100,0,100,0
2024-05-13,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,186340,100,0,80,20956,100,0,100,0,73,27,100,0,100,0
2024-05-20,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,106878,100,0,79,21124,100,0,100,0,70,30,100,0,100,0
2024-05-27,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,203982,100,0,79,21292,100,0,100,0,72,28,100,0,100,0
2024-06-03,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,165899,100,0,79,21460,100,0,100,0,68,32,100,0,100,0
2024-06-10,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,450036,100,0,79,21628,100,0,100,0,74,26,100,0,100,0
2024-06-17,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,380989,100,0,79,21796,100,0,100,0,73,27,100,0,100,0
2024-06-24,SE000004,ST16000NM001G,16000900661248,0,dc2,CL_dc2_5,V_005,POD_005,5,0,100,416515,100,0,79,21964,100,0,100,0,74,26,100,0,100,0
2024-04-01,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,201235,100,0,86,14789,100,0,100,0,72,28,100,0,100,0
2024-04-08,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,26939,100,0,86,14957,100,0,100,0,72,28,100,0,100,0
2024-04-15,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,289249,100,0,85,15125,100,0,100,0,72,28,100,0,100,0
2024-04-22,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,76766,100,0,85,15293,100,0,100,0,70,30,100,0,100,0
2024-04-29,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,286920,100,0,85,15461,100,0,100,0,73,27,100,0,100,0
2024-05-06,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,162152,100,0,85,15629,100,0,100,0,70,30,100,0,100,0
2024-05-13,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,93787,100,0,85,15797,100,0,100,0,74,26,100,0,100,0
2024-05-20,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,128948,100,0,85,15965,100,0,100,0,77,23,100,0,100,0
2024-05-27,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,266892,100,0,84,16133,100,0,100,0,80,20,100,0,100,0
2024-06-03,SE000005,ST16000NM001G,16000900661248,0,dc3,CL_dc3_6,V_006,POD_006,6,0,100,229576,100,0,84,16301,100,0,100,0,71,29,100,0,100,0
