task_id,task_name,phase,risk_category,predecessors,optimistic_days,most_likely_days,pessimistic_days,description
T01,Planejamento de Arquitetura e RFP,Planejamento,Gestao,,10,15,25,"Definicao dos requisitos de hardware e selecao de fornecedores"
T02,Negociacao de Contrato de Colocation Tier III,Planejamento,Contratual,T01,15,20,35,"Acordo de nivel de servico (SLA) de energia e espaco em rack"
T03,Contratacao e Ativacao de Links IP e IX.br,Infraestrutura,Telecom,T02,20,30,50,"Lancamento de fibras opticas e cross-connects no datacenter"
T04,Aquisicao e Fabricacao dos Servidores de Storage,Aquisicao,Cadeia_Suprimentos,T01,35,50,85,"Producao e importacao dos 12 storages 4U de alta densidade"
T05,Aquisicao de Switches 100GbE e Cabos Opticos,Aquisicao,Cadeia_Suprimentos,T01,25,35,60,"Compra e entrega dos equipamentos de rede e optics QSFP28"
T06,Desembaraco Aduaneiro e Transporte Local,Logistica,Regulatorio,T04;T05,10,18,40,"Liberacao na alfandega e frete rodoviario seguro ao datacenter"
T07,Preparacao Fisica de Racks e Alimentacao Eletrica,Infraestrutura,Eletrica,T02,7,12,20,"Instalacao de PDUs redundantes A+B e organizacao dos racks"
T08,Montagem Fisica em Rack e Cabeamento Estruturado,Instalacao,Operacional,T06;T07,8,12,22,"Instalacao dos chassis nos trilhos e cabeamento MPO/LC"
T09,Configuracao de Switches L3 e Sessoes BGP,Rede,Tecnico,T03;T08,5,10,18,"Configuracao de MLAG/EVPN, roteamento e anuncio de prefixos IP"
T10,Instalacao de SO Base e Testes de Burn-in,Validacao,Tecnico,T08,6,10,18,"Validacao de memoria RAM, testes SMART e estresse termico dos discos"
T11,Deploy e Parametrizacao do Cluster Ceph/MinIO,Software,Tecnico,T09;T10,12,18,30,"Criacao dos pools Erasure Coding (8+3) e tuning BlueStore"
T12,Testes de Carga de I/O e Resiliencia de Falha,Validacao,Tecnico,T11,7,12,20,"Simulacao de queda de switches e perda simultanea de servidores"
T13,Auditoria de Seguranca Pentest e Conformidade,Conformidade,Seguranca,T11,10,15,25,"Analise de vulnerabilidades de API S3 e conformidade LGPD"
T14,Migracao de Dados Piloto e Homologacao B2B,Homologacao,Operacional,T12;T13,8,14,25,"Testes de carga com clientes parceiros e ajuste de SLAs"
T15,Virada de Producao (Go-Live) e Monitoramento 24x7,Lancamento,Operacional,T14,3,5,10,"Abertura comercial da unidade e operacao assistida"
