category,parameter,unit,value_min,value_mode,value_max,currency,distribution,notes
CAPEX,storage_server_jbod_4u,unit,145000,165000,195000,BRL,triangular,"Servidor 4U 60-bays com 60x HDDs 20TB, controladoras SAS/SATA e fontes redundantes"
CAPEX,storage_server_quantity,count,12,12,12,COUNT,constant,"12 servidores de 60 discos = 720 discos de 20TB = 14.400 TB brutos (~10.470 TB úteis com EC 8+3)"
CAPEX,head_nodes_mon_mgr,unit,35000,42000,52000,BRL,triangular,"4x Servidores 1U Dual AMD EPYC / 128GB RAM para Ceph Mon/Mgr e API S3 Gateway"
CAPEX,head_nodes_quantity,count,4,4,4,COUNT,constant,"4 servidores de controle redundantes"
CAPEX,nvme_caching_tier_pool,unit,38000,45000,55000,BRL,triangular,"24x SSDs NVMe Enterprise U.2 3.84TB distribuídos para BlueStore DB/WAL e caching"
CAPEX,nvme_tier_quantity,count,1,1,1,COUNT,constant,"Pool de aceleração NVMe global"
CAPEX,network_switches_100gbe,unit,65000,75000,95000,BRL,triangular,"2x Switches Spine/Leaf 32-port 100GbE QSFP28 redundantes (cumulus/sonic)"
CAPEX,network_switches_quantity,count,2,2,2,COUNT,constant,"Switches de rede de alta performance"
CAPEX,mgmt_switches_oob,unit,9000,12000,16000,BRL,triangular,"2x Switches 48-port 1GbE/10GbE para gerência Out-of-Band IPMI/iDRAC"
CAPEX,cabling_optics_racks,lump_sum,35000,45000,60000,BRL,triangular,"Cabos ópticos MPO-4xLC, transceivers QSFP28-SR4, patch cords e organizadores"
CAPEX,engineering_setup_labor,lump_sum,180000,220000,280000,BRL,triangular,"Serviços de consultoria especializada de arquitetura Linux/Ceph, segurança e testes"
CAPEX,import_customs_taxes_pct,pct,0.12,0.15,0.22,RATIO,triangular,"Impostos de importação e desembaraço aduaneiro sobre hardware importado"
OPEX_MONTHLY,rack_colocation_rental,per_rack_month,4000,4500,5200,BRL,triangular,"Aluguel de espaço de rack 42U em Colocation Tier III certificado (espaço físico, segurança física, PDU dual A+B)"
OPEX_MONTHLY,rack_quantity,count,8,8,8,COUNT,constant,"8 racks de alta densidade utilizados na fase 1"
OPEX_MONTHLY,pue_datacenter,ratio,1.30,1.35,1.45,RATIO,triangular,"Power Usage Effectiveness do Datacenter parceiro"
OPEX_MONTHLY,it_power_consumption_kw,kW,30.0,35.0,42.0,KW,triangular,"Carga elétrica nominal contínua do cluster de servidores e switches"
OPEX_MONTHLY,energy_tariff_kwh,per_kwh,0.65,0.74,0.88,BRL,triangular,"Tarifa de energia elétrica comercial de média tensão com impostos e bandeiras tarifárias"
OPEX_MONTHLY,transit_ip_ix_connectivity,month,15000,18000,24000,BRL,triangular,"Link de fibra dedicado 20Gbps + sessão BGP IX.br + trânsito IP Tier 1 redundante"
OPEX_MONTHLY,sysadmin_noc_support,month,22000,28000,35000,BRL,triangular,"Equipe técnica especializada de monitoramento 24x7 e suporte N3"
FINANCIAL,project_lifetime_years,years,5,5,5,YEARS,constant,"Horizonte de análise do investimento em anos (60 meses)"
FINANCIAL,discount_rate_annual,pct,0.10,0.12,0.15,RATIO,triangular,"Taxa Mínima de Atratividade (TMA / WACC) anualizada"
FINANCIAL,storage_price_per_tb_month,per_tb,48.0,55.0,65.0,BRL,triangular,"Preço cobrado do cliente final por TB útil/mês (armazenamento corporativo S3)"
FINANCIAL,ramp_up_months_to_target,months,9,12,18,MONTHS,triangular,"Tempo para atingir 80% da capacidade comercial vendida"
FINANCIAL,target_utilization_pct,pct,0.75,0.85,0.92,RATIO,triangular,"Taxa média de ocupação sustentável do cluster"
